No_Reff,Nominal_Transaksi,Jenis_Transaksi,Timestamp,Nama_Pengirim,Nama_Penerima,Tanggal,Bulan,Hari,Hari_Minggu,Minggu_Ke,Is_Weekend,Is_Akhir_Bulan,Is_Awal_Bulan,Quarter,Quarter_Label,Total_Transaksi,Rata_Nominal,Frekuensi_Per_Hari,Durasi_Aktif_Hari,Hari_Dari_Awal_Bulan,Kategori_Pembayaran,Jumlah_Terlambat,Persentase_Terlambat,Rata_Interval_Hari,Is_TopUp,Is_QRIS,Is_Transfer,Prop_TopUp,Prop_QRIS,Prop_Transfer,Aktivitas_Bulan_Ini,Aktivitas_Quarter_Ini,Risk_Score,Warning_Level
3697014763166,56740,Top Up,2025-01-17 10:05:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,1,0,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
9979232108534,121191,Top Up,2025-01-17 10:10:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,1,0,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
967846003656,85553,Top Up,2025-01-17 10:12:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,1,0,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
6249918734270,63832,Transfer,2025-01-17 10:20:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,0,0,1,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
5382178922372,47766,Transfer,2025-01-17 10:20:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,0,0,1,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
7944246755860,133387,QRIS Bayar,2025-01-17 10:27:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,0,1,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
7093770619274,51280,Top Up,2025-01-17 10:34:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,1,0,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
4380290601508,53640,Transfer,2025-01-17 10:35:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,0,0,1,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
2416594510678,143640,QRIS Bayar,2025-01-17 10:41:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,0,1,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
5604941007717,148309,Transfer,2025-01-17 10:51:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,0,0,1,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
6567620281968,38022,Top Up,2025-01-17 10:51:00,Andi Adi Hakim,"RW05, Lowokwaru",2025-01-17,1,17,4,3,0,0,0,1,Q1,71,78849.94366197183,2.2903225806451615,30,17,Terlambat,52,73.23943661971832,0.12857142857142856,1,0,0,0.352112676056338,0.28169014084507044,0.36619718309859156,38,71,59.29577464788733,Warning
